name,decimalLongitude,decimalLatitude
spp_ex,-91.786944,16.125278
spp_ex,-91.727778,16.133889
spp_ex,-91.786944,16.125278
spp_ex,-91.786944,16.125278
spp_ex,-91.786944,16.125278
spp_ex,-91.786944,16.125278
spp_ex,-91.786944,16.125278
spp_ex,-91.786944,16.125278
spp_ex,-91.727778,16.133889
spp_ex,-91.727778,16.133889
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.782778,16.126389
spp_ex,-91.727778,16.133889
spp_ex,-93.171389,16.9225
spp_ex,-89.0205,20.016444
spp_ex,-89.0205,20.016444
spp_ex,-89.0205,20.016444
spp_ex,-89.0205,20.016444
spp_ex,-89.0205,20.016444
spp_ex,-89.0205,20.016444
spp_ex,-89.0205,20.016444
spp_ex,-92.03825,17.488264
spp_ex,-92.03825,17.488264
spp_ex,-91.8125,16.146944
spp_ex,-97.935239,17.687672
spp_ex,-97.932819,17.697911
spp_ex,-74.18738,10.40431
spp_ex,-74.18738,10.40431
spp_ex,-74.19075,10.40325
spp_ex,-74.19075,10.40325
spp_ex,-74.18738,10.40431
spp_ex,-73.22121,4.16223
spp_ex,-73.21392,4.18309
spp_ex,-73.15907,3.5312
spp_ex,-73.1488,4.13994
spp_ex,-72.817333,5.281056
spp_ex,-72.863,5.253306
spp_ex,-70.156072,6.095869
spp_ex,-72.863,5.253306
spp_ex,-72.863,5.253306
spp_ex,-72.863,5.253306
spp_ex,-72.820389,5.266583
spp_ex,-72.990972,6.830667
spp_ex,-72.990972,6.830667
spp_ex,-67.670333,6.290694
spp_ex,-71.645061,4.77758
spp_ex,-71.595583,5.41425
spp_ex,-71.595583,5.41425
spp_ex,-71.626383,5.41115
spp_ex,-71.60045,5.416583
spp_ex,-71.6264,5.419136
spp_ex,-71.626383,5.41115
spp_ex,-71.626383,5.41115
spp_ex,-71.60045,5.416583
